query1,query2,proba_0,proba_1
mariostore.ru,"Плоскогубцы многоцелевые GEDORE, тип 8133-170 JC, артикул 6722110, 160 мм",0.45123363,0.54876643
фум лента как правильно наматывать,принцип работы ножницы для пластиковых труб,0.5677393,0.43226072
zamon barcha ko'rsatuvlari,mostbetuz,0.5528207,0.44717938
мрт 3 тесла в сочи,лента пектин яблочный,0.5714164,0.42858368
нефтемодулькомплект,48 унр,0.50082356,0.4991765
мастодинон таблетки инструкция,"рабочая тетрадь по математике 2 класс 1 часть, стр.3",0.57448405,0.42551595
порнушку только новенькую какую нибудь,хороший трах,0.4750002,0.52499986
секретарь обязанности,1с бухгалтерия 8.3,0.47491893,0.5250811
что следует понимать под обществом в узком и широком смысле слова,в чем заключается особенность человеческой деятельности,0.5718474,0.4281526
макото и бьякуя,Cha cha,0.4327426,0.5672574
Декрет № 7,постановление мчс 28 от 28.04.2018,0.40524527,0.5947547
Декрет № 7,общие требования к пожарной безопасности,0.4277514,0.5722486
прайс на услуги дизайнера,дизайн логотипа,0.5858813,0.4141187
ups browser windows 32 bit,free vpn online,0.5368519,0.46314815
численность кавказа,где живут кавказцы,0.4925512,0.5074488
где живут кавказцы,группа языковой семьи кавказа,0.55160695,0.44839302
литература 10 класс сахаров зинин гдз учебник 1,опираясь на материал изученный в 9 классе кратко охарактеризуйте основные периоды творчества пушкина  в чём проявлялась логиг,0.56839365,0.43160638
размер душевого поддона из плитки,ширина стеклоблоков,0.53530633,0.4646937
эквайринг тинькофф тарифы для ип,Оплата по настоящему договору производится по наличной форме оплаты,0.51044667,0.48955333
гдз орыс тілі 5 сынып,"біздің планетамыз сыртқы бейнесі, оның өлшемдерін",0.4174261,0.58257395
сек с        с  парнер,Секс с парнем,0.5632201,0.43677986
сек с        с  парнер,секс с парнем,0.40166742,0.5983326
язык африки б,горизонт пять букв,0.55802554,0.44197443
гдз по математике страница 7 номер 17 19 21,а4 порно,0.5332359,0.4667641
"схемы реакций с одной из этих кислот, доказывающие ее амфотерные свойства.",Методы фракционирования и очистки белков.,0.46633574,0.5336642
Методы фракционирования и очистки белков.,пример реакции незаменимой аминокислоты,0.546585,0.45341498
интернет магазин на вордпресс,скорость загрузки сайта,0.50955117,0.49044886
если одно слагаемое увеличить на 8 а другое уменьшить на 2 то сумма,306 кг сколько ц и кг,0.55738956,0.44261044
дтк на блейзер р93,скс 366 ланкастер купить в москве,0.46417615,0.5358239
штрих-пунктирная линия это,через точку А провести отрезок АВ горизонтальной прямой,0.43361482,0.56638515
сплошная толстая основная линия,через точку А провести отрезок АВ горизонтальной прямой,0.42950135,0.5704986
какого производителя сковорода лучшая,авито москва купить хлебопечь,0.59262526,0.4073747
посоветуйте хорошую сковородку,авито москва купить хлебопечь,0.59567815,0.40432188
color adobe,после применения модификаторов миррор части двигаются в блендере,0.52601755,0.47398242
лучшие хиты 2020 русс,песни виктора третьякова скачать,0.4480663,0.55193377
победы 24 екатеринбург,техническая 49,0.47947982,0.5205202
ной и ковчег,рождение иисуса христа история,0.5465238,0.45347616
Собр официальная зарплата,2 помощник капитана,0.585832,0.41416803
твиттер,на сайте найдите старинные меры объема используемые в древней руси,0.4956308,0.5043692
инженерные системы,академия горных наук,0.47501984,0.5249802
видеорегистратор 70mai dash cam pro plus,кузов на камаз 55111,0.4060332,0.59396684
видеорегистратор 70mai dash cam pro plus,топ 10 видеорегистраторов для автомобиля до 5000 рублей,0.42456266,0.5754373
средняя линия,хозяин данного участка строит баню с парным отделением,0.58166087,0.4183391
". «Отель „Гранд Будапешт“», 2014","Человек из ниоткуда (фильм, 2010)  [править | править код]",0.524589,0.475411
книги по экологии 3 класс окружающий мир,приокско-террасный заповедник растения и животные кроссворд,0.5395321,0.46046782
биография юрия никулина,писатели донбасса,0.4091014,0.5908986
реакции наруто,любовь т/и и ип нар,0.5722947,0.42770526
возлюби ближнего своего,любящих и бог любит смысл пословицы,0.4918906,0.5081094
стиральная машина hotpoint-ariston wmsg 702 b,одеколон paco rabanne,0.53363454,0.46636543
твак биоревитализация препарат,экзопротекторы в косметологии,0.44776797,0.552232
Rowenta CF 4510,Ровента три режима плойка,0.4974081,0.5025919
цветовая плоскость hsb,glock 43,0.5733878,0.4266122
yaesu vx-6r,кейсы peli,0.4571251,0.5428749
teenage holidays,conditional sentences,0.48336062,0.5166394
conditional sentences,holiday of teens,0.4945534,0.5054466
РЕШУ ВПР,"Найдите значение выражения: 4,6 умножить на 3,4 минус 0,34.",0.4786858,0.52131414
от железной станции туристы пошли на юг по грунтовой дороге через смешанный лес,из поселок дубки туристы отправились к шоссе используя условные знаки,0.5438241,0.45617598
"Самарская область, Нефтегорский район , с. Утёвка б \ о "" Дружба """,авито тольятти бесплатные объявления,0.4301841,0.5698159
список литературы огэ 2022,тик ток,0.5879344,0.41206563
тик ток,список литературы егэ 2022,0.5548679,0.44513208
договор купли-продажи квартиры 2021 бланк для физических лиц скачать мфц,подольскмежрайгаз личный кабинет клиента,0.59776926,0.40223074
cloyad,louis vuitton discovery рюкзак,0.4516281,0.54837185
сколько символов текста можно передать за 5 секунд используя телефонный канал работающий 56 кбит/с,что такое модем каково его назначение в сети,0.526203,0.47379705
l870-d2w схема,root dtproscsibus,0.5504833,0.44951674
root dtproscsibus,plf/plr/csf/csr dsc mb rev 2.1 схема,0.5961763,0.40382367
к г паустовский,п мериме,0.43971077,0.56028926
гурметто великий новгород официальный сайт,тлс программа передач,0.50669897,0.493301
wan настройка роутера,онлайн генератор паролей,0.54602164,0.45397836
өздік етіс жасау,переводчик с русского на казахский,0.43496913,0.5650309
капитальный ремонт лифта,ч 2 ст 48 грк рф,0.5144735,0.4855265
getvideo org,жилой дом 4 этажа готовый чертеж,0.48134258,0.5186574
определенностьдискретностьмассовость алгоритма2результативность,перечисли способы описания алгоритма псевдокод,0.57398427,0.42601573
диван-книжка с пружинным блоком и ящиком для белья с подлокотниками,диван 33 кольчугино,0.56863153,0.43136844
обработка гача лайф,песня hello my name is zuzzi текст,0.5812391,0.41876084
винлайн скачать 1000 фрибет бесплатно gostbet.ru,оформить займ онлайн на карту мир займомат,0.4383937,0.5616062
asgari destek tutarları iptal nedeni,muratpaşa sgk,0.49836746,0.5016326
timo resort hotel 5,stella beach 5*,0.5056629,0.4943371
банки ру,re store.ru,0.43232742,0.5676726
Диаген,егоров сергей врач,0.5928222,0.40717784
Белла торн,инкомус пермь,0.5923691,0.40763092
активы афк система 2021,крупнейшие нко россии,0.4023739,0.59762603
шаттерсток купить фото,новогодняя открытка мокап,0.5595599,0.44044015
высота реборда не менее 11 мм или 15 мм,укажите величину угла поворота поворотной тележки сочлененного вагона,0.59778774,0.40221223
"Ключ-трещотка для торцевых головок привод на 1/2""",Скотч прозрачный 48мм/150м,0.4472443,0.5527557
небо батутный центр,www.b2b-center.ru есть промокод на участие,0.41662538,0.5833747
числа кратные 11 двузначные,гдз по математике петерсон 2 класс рабочая тетрадь 1 часть,0.5081942,0.49180585
rutor games,StarCraft: Brood War,0.5635478,0.43645224
задачи источниковедения,историческое пособие это,0.41727135,0.5827287
сказазка краснаяишапочка читать,песни колыбельные для детей,0.555448,0.44455203
• разработка программ профессиональной практике,классификатор специальностей типо рк 2020,0.5836981,0.4163019
что такое придание,в своём доме каждый олроьк пословица итальянская,0.5224885,0.4775115
рфпл расписание матчей,спартак химки прямая трансляция смотреть онлайн бесплатно,0.46958938,0.53041065
девушка пробует член,необычный секс,0.56793433,0.43206573
посуда люминарк,"Блюдо с соусником ""Бланш"" 33,5х14,5х1,5 см",0.45166177,0.54833823
какое тело отдаст большее количество теплоты ртуть в термометре или ртуть в бутыли объемом 0.5 л при,утюг нагрет до 80 градусов а батарея отопления до 40 градусов можно ли утверждать что утюг остывая,0.53119534,0.46880466
замена ttl windows 10,cannot convert from int to int[] java,0.41511053,0.5848895
taki taki,bts idol,0.49491858,0.5050814
taki taki remix,bts idol,0.4804038,0.51959616
safari adblock ios,youtube на старых ipad,0.5822158,0.41778418
старый олимпос на твоей кровати,фотоаппарат олимпус пленочный,0.5821841,0.41781586
велсон инструкция,пирог из слоеного теста,0.5393911,0.46060887
ожидаемые смарт часы 2021 новинки,oneplus 10 pro,0.42802292,0.5719771
ujkfz yf wctyt,узбекская секс 2020,0.54056704,0.459433
лук порей фото,шарлотка с яблоками рецепт,0.5258488,0.4741512
№45.01.01.000.В.002536.03.17.от 27 марта 2017 года,роспотребнадзор по курганской области официальный сайт,0.48888388,0.51111615
тв программа,тест на эрудицию,0.59976006,0.40023994
whatsapp web,читай ород каталог,0.43381783,0.56618214
читай ород каталог,ПРАКТИЧЕСКАЯ РАБОТА ДЕЙСТВИЕ НАД МАТРИЦАМИ,0.43463638,0.56536365
колба магазин,заднего шептала,0.57024693,0.42975307
колба магазин,"кламповое соединение 2.0"" (DN50)",0.47338453,0.5266155
кронштейн включения вом юмз,купить триммер в леруа мерлен в омске,0.5345515,0.46544847
образец иска иск об установлении (восстановлении) границы земельного,судебная практика на мой участок наложен другой участок,0.43434796,0.5656521
переводчик с фото,функция удаление подобных эксель,0.5849834,0.41501662
сваты 3 серия 9,гисметео угузево кушнаренковский район,0.58084714,0.41915292
сдэк,блоссом картриджи,0.4514696,0.54853034
сочинение о зиме,про зимние каникулы,0.5064093,0.49359074
лиминин сироп от кашля,смесь руми,0.53535146,0.4646486
скачать драйвер пак офлайн торрент,как работать с программой rufus,0.44264492,0.55735505
как загрузить окко на смарт тв,гугл плей маркет,0.4515705,0.5484295
сюткин валерий,редуксин форте цена,0.4830256,0.51697445
мк7,преимущество грудного вскармливания,0.58731884,0.41268116
мос ру,недорогие гостиницы в чеджудо,0.56950605,0.43049395
бизнес фм,экзист екатеринбург интернет магазин,0.5337074,0.4662926
сваты новый сезон дата выхода,сваты-7 смотреть онлайн бесплатно,0.46998027,0.53001976
помидоры с болгарским перцем и луком в томатной заливке рецепт,рецепт огурцов на зиму в 1 литровых с лимонной кислотой хрустящие,0.5363529,0.46364713
dlum,формула для расчёта проекции вектора перемещения при равноускоренном движении,0.4919303,0.5080697
People who live in glass houses should not throw stones.,Beggars can't be choosers.,0.41676706,0.58323294
post code 51,L7809CV IC,0.46512622,0.5348738
микас 11,форсунки 440сс производительность,0.568308,0.431692
Секундомер мех. СоП пр-1в-3-000  1-кноп.,Перемычка типа А исполнения 2 длиной 1200 мм ГОСТ 18707-81 цена,0.5622701,0.43772992
гдз по сольфеджио 4 класс калинина рабочая тетрадь,все интервалы от ноты фа диез вниз,0.5955298,0.4044702
"Man of Tai Chi,",фильмы про японию,0.54741734,0.45258263
формат изображения который использует алгоритм сжатия документа с потерей качества изображения,формат представляет из себя bmp определенного размера,0.4338185,0.5661815
скачать игру вверх thelastgame ru\,visual c++ 2015-19,0.5403484,0.4596516
рассмотрите фотографию,ознакомьтесь с перечнем и изображениями памятников культуры и выполните задания 7 и 8. 1) Сказание о Мамаевом побоище; 2) роман Отцы и дети; 3) Задонщина ответы,0.5158747,0.48412532
"реестр установленных приборов учета и прочего оборудования, используемого для организации учета ЭЭ. образец",исполнительная документация в строительстве,0.48143813,0.51856184
sebastian yatra tarde,tik tok,0.5216861,0.47831395
"какое влияние на силу резания оказывает сож, увеличение скорости",какие виды износа вы знаете станка,0.5430431,0.4569569
поф фильтр  программа,плагины для микрофона,0.4705067,0.52949333
вычисление определителя 4 порядка,разложить матрицу по элементам i строки онлайн,0.4165869,0.58341306
что надо сделать,как выбрать,0.57156485,0.42843518
ультрикс квадри,смальта,0.5048532,0.4951468
"Прочитайте текст. (1)Известно, что гелий","Расставьте знаки препинания. Укажите цифры, на месте которых должны стоять запятые. Невероятной кажется с",0.51944214,0.48055783
карта европы,белорусь или беларусь или белоруссия,0.58398676,0.41601327
команда для разблокировки,MSM8996 hex,0.578171,0.42182896
г-н штоппель быстро обернулся и увидев человека бедно одетого,я сел в тарантасе до тех пор я лежал и стал глядеть по сторонам,0.5960096,0.4039904
слушать-музыку-онлайн-бесплатно веру брежневу,слушать песню поют дети дядя вова с доброе утро,0.52514887,0.4748512
поворот не туда 6,выхода нет,0.5443558,0.4556442
поворот не туда,выхода нет,0.4166057,0.5833943
оквэд ип в чувашии 21г перечень,иванов виталий рудольфович чебоксары,0.5992027,0.4007973
патент чувашия 2021,иванов виталий рудольфович чебоксары,0.5791816,0.42081842
Алексей Журавлев,Максим Шевченко,0.46206692,0.53793305
Борис Титов,Максим Шевченко,0.5927863,0.40721372
апплет приложения командная строка,edge переустановить,0.4987737,0.50122625
участники земельных отношений согласно статьи 5 зк таблица,государственное управление земель это,0.43333712,0.5666629
упр-я со звуком а,сказка волк и лиса русская народная сказка,0.5678954,0.4321046
анализ холестерин норма,атеросклероза что это,0.57628155,0.4237184
атеросклероза что это,анализ диастаза норма,0.42596242,0.57403755
джефри стар,миндальная форма ногтей,0.47892645,0.5210736
hasegawa langa,ankha xxx,0.41052946,0.58947057
в стандарте обслуживания гостя данная процедура не должна превышать 8 минут,главное правило гостеприимства кроссворд,0.44429037,0.5557096
АЛЬБЕРТА ГЛОБ,1 ОКТЯБРЯ НА ОСЕННЕМ ЛИСТОЧКЕ,0.45022082,0.5497792
томиока,серьга во множественном числе,0.5832764,0.4167236
правильный параллелепипед,площадь треугольника,0.46035144,0.53964853
лобода твои глаза,ева я знаю только лучшее в тебе,0.487047,0.51295304
лобода твои глаза,песня мой муж,0.5860499,0.41395006
Класс опасности химического вещества,Нормы железа в воде,0.5205017,0.47949833
Класс опасности химического вещества,Норма сухого остатка в воде,0.52269506,0.47730488
скачать zona для виндовс 7,конвертер video to video,0.43558428,0.56441575
фильм фильм султан,мультик сусан сусан мультфильм сусан,0.44376746,0.5562325
все фильмы на стс у бегемота,мультик сусан сусан мультфильм сусан,0.51398975,0.48601025
1с 8.3 расчет компенсации за неиспользованный отпуск при увольнении,как посчитать дату увольнения с отработкой 2 недели калькулятор,0.48742542,0.51257455
карта майкл корс,зарядье все по 300,0.561661,0.43833905
карта майкл корс,кануки капуки,0.41241476,0.5875853
что такое вид,токсоматическая систематическая единица группы организмов с общими фразеологизмами,0.45944032,0.5405597
вид это основная единица различных форм жизни например растения животные да или нет,токсоматическая систематическая единица группы организмов с общими фразеологизмами,0.41795874,0.58204126
мерора 680 аналог,рамблер,0.43103173,0.56896824
22 год кого,28 декабря 1984,0.5285969,0.47140315
28 декабря 1984,90год год кого,0.430499,0.56950104
"1) Я был (не)рад нашей встрече 2) Мой собеседник бросил на меня очень (не)приветливый взгляд, однако промолчал и на этот раз","1) Морозный и тонкий воздух защипал в носу и иголочками уколол щеки 2) Илья Репин любил называть себя "" посредственным тружеником"" и ежедневным каторжным трудом отрабатывал свое громкое имя",0.43834153,0.56165844
натамицин крем цена,пимафукорт аналоги дешевле,0.42726508,0.57273495
"Казбековский район, п.Пионерный, улица Славы, д. 3",аул мастеров дагестан,0.46441206,0.5355879
гуси-лебеди сказка,гуси раскраска для детей 7,0.50324714,0.49675286
правила по охране труда при выполнении сварочных и газосварочных работ,Приказ Минтруда России от 26.10.2017 № 701н,0.48810214,0.5118979
история пятый класс страница 10 задание три,школа 223 Кировского района секретарь телефон,0.59953964,0.40046036
история пятый класс рабочая тетрадь никишина страница 10 задание три,школа 223 Кировского района секретарь телефон,0.55662966,0.4433703
скорость при равномерном движении,записать v(t ) для каждого участка и охарактеризуйте,0.5942655,0.4057345
иван краско,юрий алексеев,0.4860691,0.51393086
расследование крушения як 42,туту,0.5159842,0.48401576
туту,игорь живилов пилот,0.5759138,0.4240862
калькулятор степени онлайн,6* 2^a*3^b-1-2^a-1*3^b\a^2*3^b,0.53455484,0.46544513
salvaged fusion amplifier,флакон тлетворной массы вов,0.5498291,0.45017087
phial of putrefaction wow,флакон тлетворной массы вов,0.44123453,0.5587654
False Hero,Become A Rock Star,0.43514135,0.5648587
матрица 4,Датчик распредвала на уаз патриот змз 406 2020 где расположен,0.4698517,0.53014827
"Спецавтоматика, Бийск",Сигнализатор давления универсальный СДУ-М IP33,0.42053294,0.5794671
межхондральным подвывих,скользящее ребро повреждение хряща,0.49729726,0.5027027
рпл таблица и результаты,экспобанк википедия,0.45225856,0.5477414
лента ру,экспобанк википедия,0.508693,0.49130702
туи купить смарагд,ватсап без добавления номера телефона,0.5267501,0.4732499
ТЮФ Тюринген Промсервис,ит сервис,0.50087184,0.49912813
ит сервис,тмс рус,0.57931936,0.42068067
2016 год календарь,новости миасс,0.4189138,0.5810862
расписание автобусов краснодар горячий ключ на сегодня с вокзала,как добраться с санатория предгорье кавказа краснодарский край  до автовокзала,0.5397862,0.46021378
Особенностью методики Д.Б. Эльконина – В.В. Давыдова является целенаправленная учебная деятельность,что не относят к характерным чертам развивающего обучения,0.46853748,0.5314625
лофт дома дизайн,Домик извагоки,0.48799878,0.5120012
актриса ловато,фильм поп актеры,0.49805894,0.501941
ул. Нижегородская 8,молочное производство тамбов,0.5731545,0.4268455
значение произведения сделай подборку запись 55 умножить на 3 равно скобочка открывается 60 плюс 5,разбери предложение по членам и растям,0.47589275,0.5241073
маил.ru почта войти,валдбериес интернет-магазин севастополь,0.45492426,0.5450758
дисциплина это,сочинение рассуждение,0.4573883,0.54261166
опиши экономико географическое положение республики Молдова 4 особенности,река дунай на карте молдавии,0.5822092,0.41779074
шпоры на пятке и лечение фото,болят стопы ног причины,0.5846839,0.41531616
скачать картинку pufferfish,что такое vtf,0.4923669,0.5076331
число электронов равно числу протонов,порядковый номер химического элемента равен,0.51988477,0.48011526
тесты для госслужащих 2021,презентации apple 2020,0.4886522,0.51134783
партия новые люди кто в ней состоит,политик который распродал,0.5952107,0.40478933
скорость интернета speedtest,reıboot pro скачать,0.5641703,0.43582964
бессердечный разбор слова,части речи,0.5299165,0.4700835
онлайн кинотеатр для друзей,смотреть видео вместе,0.4038738,0.5961262
Casey Calvert machine anal,pvvstream,0.4586063,0.54139376
pvvstream,Tricia Fox dp porn,0.52350354,0.47649643
диабло 3 скачать торрент,diablo 3 ps 4 цена,0.45375094,0.54624903
новоуренгойский суд официальный сайт,мировой судебный участок 3 новый уренгой,0.40961155,0.5903884
новоуренгойский суд официальный сайт,мировой судебный участок 147 нефтегорского района самарской области,0.5471867,0.4528133
sothebys-realty.ru,фененко юрий вячеславович википедия,0.53005964,0.4699404
где купить клетчатку для правильного питания,аптека.ру заказать,0.43701455,0.5629854
"девчонки, мои девчонки, какие мне ещё слова найти для вас",дочечкамоя люблю больше жизни,0.44767505,0.552325
"девчонки, мои подружки, какие",дочечкамоя люблю больше жизни,0.5484402,0.45155978
Daima Biz,level travel,0.5459096,0.45409045
Daima Biz,Club Hotel Phaselis Rose,0.57844293,0.42155704
Club Hotel Phaselis Rose,level travel,0.5267626,0.47323737
сылу кыз асхат,тимур бекмансуров пермь жив или нет,0.46590355,0.5340964
скачать приложение умное голосование,как проголосовать онлайн,0.4343815,0.56561846
гдз алгебра 9 класс,модуль 0 минус 0,0.4040724,0.5959276
лукашик номер 147,9а https://stepik.org/join-class/e684243a4d061f1bb785a37c09159331cca02fe3,0.583832,0.41616797
рассада твери,зимостойкие сорта роз,0.48587832,0.5141217
майшоп ру,rainbocorns игрушка,0.59269243,0.4073076
қазақстан облыстары мен қалалары картасы,мектеп безендіру фото,0.5234883,0.47651172
